poi_id,poi_name,poi_category,poi_latitude,poi_longitude,poi_ratings,,,,,
1806848972,ちぬまん,restaurant,26.2155192001422,127.6854314,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
428667258,Otter Creek State Forest,nature-reserve,43.7149419232782,-75.3263056920684,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
813164026,Солдатский пляж,beach,51.2467593558086,58.6264566028813,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
502595764,Chester Road,bus-stop,54.8981600993903,-1.4175971,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
486649349,Papa Murphy's,fast-food,37.4331937999042,-122.1292931,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5477423259,ねむ猫,restaurant,35.7075872997077,139.7592621,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4390484395,31st Street & Canal,bus-stop,41.8380950004737,-87.6379025,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
1679569885,76-р цэцэрлэг,kindergarten,47.9241245999557,106.8728128,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
8927949261,八潮市役所東,bus-stop,35.8201054997181,139.840073,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
6233153785,Cosmo,coffee-shop,1.07397869988651,34.177831,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
493575962,Yayasan Al Falah Al Anshoriyah MI/MTs/SMK,school,-6.29296819810023,106.876937462305,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
3740059728,Календула,pharmacy,64.5413172994682,40.5274419,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4243702891,SDN 02,school,-8.91334839982342,116.7533653,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
157797266,Walmart Supercenter,supermarket,39.3964094679161,-77.4109459744213,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
358771018,Gordon Lee School,school,34.8700607996432,-85.2957503,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
3232003261,Метро «Тропарёво»,bus-stop,55.6442308996435,37.471695,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
11155476759,沙田站 Sha Tin Station,bus-stop,22.3835211004023,114.1881326,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
416607040,RM. Ikan Bakar ArayasKalimantan 70,restaurant,-5.1218011870765,119.411629148044,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5845181419,Capistrano Drive & Almanza Drive,bus-stop,37.7308280999445,-122.1784954,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
429466181,Wyspa Łososiowa,park,54.4167496316802,16.4130568212253,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2280666180,Stop 51E Troutbeck Crescent - North West side,bus-stop,-35.1550454999222,138.5161251,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9461318255,Binderi,bus-stop,56.7115821001147,21.3069544,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
10259115712,Virta-kampus,bus-stop,61.3099018017279,23.7719697,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2280656100,Stop 19 Greenhill Road - North West side,bus-stop,-34.9574843998799,138.7157659,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4083712865,"Benešov nad Ploučnicí, závod I",bus-stop,50.7409943992965,14.3009984,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
2565539187,Karnataka State Women's University,college,16.8319715001175,75.6425088,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
704228256,Jim's,restaurant,29.4343091630198,-98.7099460718494,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4558663629,Emin Eczanesi,pharmacy,41.0062304003928,28.5369597,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
851407076,Banilad Elementary School,school,10.8337718330083,123.044260292622,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
921438980,China in Box,restaurant,-1.4124761730864,-48.4422856030506,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
11367051206,PORDENONE via Maestra 15,bus-stop,45.9770458003461,12.6623746,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9174254987,Butchers Arms,bus-stop,51.7912756991375,-3.3698701,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
10172072821,Aşlamacı Eczanesi,pharmacy,37.0360398998528,35.2819982,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
3708669114,Heidegarten,bus-stop,51.541970199167,6.2471434,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
676036696,Antoninek PKM,bus-stop,52.4096144990914,17.0294035,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
380861801,Allee/Moltkestraße,bus-stop,49.1411962996574,9.2222724,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5580848778,Institución Educativa Ciro Alegria Bazan,school,-6.59113869969738,-78.8175906,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
505906771,Arena,park,47.3926102891541,8.42498751152812,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
214233676,Steakhaus,restaurant,51.3576451635311,7.49717306949481,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
128287318,Kaufland,supermarket,50.9792404151687,13.9492121974231,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
1454974,Kuhaugen,park,63.4297540004839,10.4301546260664,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4809472321,西屋ラーメン,restaurant,38.7383364000879,141.0340794,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
4456517889,Webb Custom Kitchen,restaurant,35.2624866996705,-81.1836782,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
5517947084,手打ちうどんよしの,restaurant,34.1823272996082,131.2111969,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
9875316117,Bom prato,restaurant,-23.9403290999338,-46.3184579,"{3.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0}",,,,,
